Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220u","CP_Radial_D6.3mm_P2.50mm",113.182380,-91.500000,180.000000,top
"C2","680p","C_Disc_D3.8mm_W2.6mm_P2.50mm",124.660000,-101.000000,180.000000,top
"C3","100n","C_Disc_D3.8mm_W2.6mm_P2.50mm",124.660000,-112.750000,180.000000,top
"C4","100n","C_Disc_D3.8mm_W2.6mm_P2.50mm",187.415000,-98.580000,180.000000,top
"C5","4u7","CP_Radial_D6.3mm_P2.50mm",172.665302,-99.080000,180.000000,top
"C6","100n","C_Disc_D3.8mm_W2.6mm_P2.50mm",187.360000,-104.000000,180.000000,top
"C7","100n","C_Disc_D3.8mm_W2.6mm_P2.50mm",187.415000,-109.580000,180.000000,top
"C8","100u","CP_Radial_D6.3mm_P2.50mm",172.512651,-108.080000,180.000000,top
"D1","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",155.780000,-88.080000,0.000000,top
"J1","LEMO6","TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal",172.860000,-83.580000,0.000000,top
"J2","LEMO4","JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical",157.110000,-81.580000,0.000000,top
"J3","Conn_01x10_Male","Molex_SL_171971-0010_1x10_P2.54mm_Vertical",125.360000,-82.580000,0.000000,top
"J4","Conn_01x04_Male","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",97.360000,-89.080000,-90.000000,top
"J5","Conn_Coaxial","BNC_TEConnectivity_1478204_Vertical",106.360000,-107.580000,180.000000,top
"L1","1uf","L_Axial_L5.3mm_D2.2mm_P10.16mm_Horizontal_Vishay_IM-1",131.920000,-90.000000,0.000000,top
"L2","1uf","L_Axial_L5.3mm_D2.2mm_P10.16mm_Horizontal_Vishay_IM-1",156.580000,-97.000000,180.000000,top
"R1","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",131.080000,-97.000000,0.000000,top
"R2","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",117.080000,-105.000000,0.000000,top
"R3","50R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",146.580000,-104.000000,0.000000,top
"R4","50R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",146.660000,-109.500000,0.000000,top
"R5","75R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",127.240000,-97.000000,180.000000,top
"R6","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",127.160000,-109.000000,180.000000,top
"U1","EL2140","DIP-8_W7.62mm",133.360000,-103.000000,0.000000,top
"U2","LM7808_TO220","TO-220-3_Vertical",193.470000,-101.540000,-90.000000,top
