"Source:","D:\roboscan\vidisco\schematic\ki VCU\VCU\VCU.kicad_sch"
"Date:","2022-10-21 6:02:11 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","28"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","220u","C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor",""
"C2, ","1","680p","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"C3, C4, C6, C7, ","4","100n","C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","Unpolarized capacitor",""
"C5, ","1","4u7","C_Polarized_1","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor",""
"C8, ","1","100u","C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor",""
"D1, ","1","1N4007","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1000V 1A General Purpose Rectifier Diode, DO-41",""
"H1, ","1","MountingHole_Pad","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad","Mounting Hole with connection",""
"H2, H3, H4, ","3","MountingHole","MountingHole","MountingHole:MountingHole_2.2mm_M2","Mounting Hole without connection",""
"J1, ","1","LEMO6","LEMO6","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal","6-pin LEMO connector",""
"J2, ","1","LEMO4","LEMO4","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","4-pin LEMO connector",""
"J3, ","1","Conn_01x10_Male","Conn_01x10_Male","Connector_Molex:Molex_SL_171971-0010_1x10_P2.54mm_Vertical","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","Conn_01x04_Male","Conn_01x04_Male","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, ","1","Conn_Coaxial","Conn_Coaxial","Connector_Coaxial:BNC_TEConnectivity_1478204_Vertical","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",""
"L1, L2, ","2","1uf","L","Inductor_THT:L_Axial_L5.3mm_D2.2mm_P10.16mm_Horizontal_Vishay_IM-1","Inductor",""
"R1, R2, R6, ","3","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R3, R4, ","2","50R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R5, ","1","75R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"U1, ","1","EL2140","EL2140_1","Package_DIP:DIP-8_W7.62mm","",""
"U2, ","1","LM7808_TO220","LM7808_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1A 35V Linear Regulator, Fixed Output 8V, TO-220",""
