Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",157.700000,-99.300000,0.000000,top
"C2","22u","C_0805_2012Metric",162.700000,-105.050000,90.000000,top
"C3","10u","C_0603_1608Metric",145.200000,-88.700000,0.000000,top
"C4","100n","C_0402_1005Metric",141.700000,-93.200000,90.000000,top
"C5","100n","C_0402_1005Metric",150.450000,-102.450000,180.000000,top
"C6","100n","C_0402_1005Metric",153.700000,-93.950000,-90.000000,top
"C7","100n","C_0402_1005Metric",145.180000,-90.450000,0.000000,top
"C8","10n","C_0402_1005Metric",141.700000,-97.450000,90.000000,top
"C9","1n","C_0402_1005Metric",141.092164,-101.090000,180.000000,top
"C10","1n","C_0402_1005Metric",141.092164,-102.340000,180.000000,top
"C11","100n","C_0402_1005Metric",145.200000,-102.450000,0.000000,top
"C12","10p","C_0402_1005Metric",140.200000,-94.200000,90.000000,top
"C13","10p","C_0402_1005Metric",140.200000,-96.200000,90.000000,top
"D1","RED","LED_0603_1608Metric",167.900000,-103.962500,-90.000000,top
"FB1","FerriteBead","L_0603_1608Metric",142.950000,-101.700000,90.000000,top
"J1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",146.250000,-82.700000,-90.000000,top
"J2","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",165.195000,-95.200000,90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",143.550000,-109.650000,90.000000,top
"J4","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",159.250000,-82.700000,-90.000000,top
"R1","1k5","R_0402_1005Metric",167.650000,-101.712500,0.000000,top
"R2","10k","R_0402_1005Metric",134.325000,-91.535000,-90.000000,top
"R3","1k5","R_0402_1005Metric",157.950000,-94.575000,-90.000000,top
"R4","1k5","R_0402_1005Metric",146.350000,-106.150000,0.000000,top
"R5","1k5","R_0402_1005Metric",148.600000,-106.150000,180.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",130.700000,-91.300000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",157.700000,-105.050000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",147.700000,-96.450000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",137.700000,-95.200000,-90.000000,top
